ACCOUNT,LV,ESSENCER,WINS,HONOR,SOLO,FLEX
GEM Arminariknot#GEM,55,Nighty,15,5,unranked,unranked
GEM Cordacrimory#GEM,98,-,0,4,unranked,unranked
GEM Dreemurdomme#GEM,90,Periwinkle,15,5,unranked,Platinum 1
GEM Hestiarethe#GEM,60,-,0,4,unranked,unranked
GEM Orzyadhere#LAS,70,-,0,5,unranked,unranked
GEM Purselgarmet#LAS,42,-,0,5,unranked,unranked
GEM Rothroyaume#GEM,47,-,0,5,unranked,unranked
GEM Stridellarea#GEM,78,-,0,5,unranked,unranked
GEM Brincellezha#GEM,91,-,0,5,unranked,Platinum 2
GEM Deellycella#GEM,73,Rosie,0,4,unranked,unranked
GEM Eunilacealle#LAS,72,Periwinkle,0,5,unranked,Diamond 2
GEM Lacellire#LAS,87,-,0,5,unranked,unranked
GEM PelsNpurmips#GEM,42,Periwinkle,15,5,unranked,unranked
GEM Primrosenrot#GEM,86,-,0,5,unranked,unranked
GEM Priscyumice#GEM,113,Nighty,0,5,unranked,unranked
GEM Regimbudlair#GEM,50,Enzyto,0,5,unranked,unranked
GEM Blaandelvals#GEM,47,Sasory,0,4,unranked,unranked
GEM Bricellice#GEM,81,Periwinkle,0,5,unranked,unranked
GEM Damglantine#GEM,85,-,0,5,unranked,unranked
GEM Deestellirys#GEM,225,-,0,4,unranked,Emerald 3
GEM Envicingess#GEM,39,-,0,4,unranked,unranked
GEM Glacelynne#GEM,82,-,0,5,unranked,Platinum 1
GEM Ivelism#GEM,44,-,0,5,unranked,unranked
GEM Lahallayd#GEM,82,-,0,5,unranked,Gold 2
GEM Lagrimelle#GEM,95,-,0,5,Gold 2,Platinum 1
GEM Plissevelary#GEM,38,-,0,5,unranked,unranked
GEM Vaelardorcel#GEM,37,-,0,4,Gold 4,unranked
GEM Velchelisse#GEM,36,-,0,5,unranked,unranked
GEM Asticedicair#GEM,51,-,0,5,unranked,unranked
GEM Dellablivien#GEM,55,-,0,5,unranked,unranked
GEM Gallilessya#GEM,37,Periwinkle,15,3,unranked,unranked
GEM Greedgardell#GEM,112,-,0,5,Platinum 2,Emerald 3
GEM Irzeleriance#LAS,38,Periwinkle,15,5,unranked,unranked
GEM Phrasimfasya#GEM,30,Periwinkle,15,5,Silver 2,Emerald 2
GEM Praireclovia#GEM,83,Sasory,15,5,unranked,Emerald 3
GEM Vespianelian#GEM,78,-,0,4,unranked,unranked
GEM Vrilyarethez#GEM,94,-,0,5,unranked,unranked
GEM Cierzellant#GEM,44,-,0,5,unranked,Diamond 3
GEM Deliquesence#LAS,40,Periwinkle,15,5,unranked,Diamond 4
GEM Veldraveth#GEM,58,-,0,4,Gold 3,unranked
GEM Religerness#GEM,30,Nighty,0,5,unranked,unranked
GEM Debranice#GEM,37,Nighty,0,5,unranked,unranked
GEM Gliecernice#GEM,33,-,0,4,unranked,unranked
GEM Golzendants#GEM,31,-,0,5,unranked,unranked
GEM Argyndorness#GEM,15,Periwinkle,15,5,Gold 3,Diamond 2
GEM Ornetchreans#GEM,30,-,0,5,unranked,unranked
GEM Lageldrynne#GEM,33,-,0,5,Gold 4,unranked
GEM Furninscorce#GEM,34,-,0,4,Gold 3,Gold 1
GEM Arklyndarce#GEM,30,-,0,5,unranked,unranked
GEM Buddelizeth#GEM,16,-,0,4,unranked,unranked
GEM Depurallire#GEM,32,-,0,5,Gold 2,Platinum 2
GEM Pracelgance#GEM,30,-,0,5,unranked,unranked
GEM Reamsetmours#GEM,33,-,0,5,unranked,unranked
GEM Auzglades#GEM,19,Periwinkle,0,4,unranked,unranked
GEM Envealscenth#GEM,14,Periwinkle,15,3,unranked,unranked
