id,user_id,ranked_id,ranked_name,ranked_username,bloodline,action,title,description,metadata,created_at
33,3d874267-f665-4c55-9f5d-9c06eea06a75,11,3d874267-f665-4c55-9f5d-9c06eea06a75,GEM Eunilacealle#LAS,Spadelline,MEMBER,¡Nuevo miembro!,3d874267-f665-4c55-9f5d-9c06eea06a75 se ha unido a Spadelline con la cuenta GEM Eunilacealle#LAS,"{""points"":""0"",""username"":""GEM Eunilacealle#LAS"",""bloodline"":""Spadelline""}",2025-10-12 03:32:25.92649+00
37,5a8753ad-43bd-45fd-b0c0-caf0339a1e7b,47,5a8753ad-43bd-45fd-b0c0-caf0339a1e7b,GEM Lageldrynne#GEM,Zephiroth,MEMBER,¡Nuevo miembro!,5a8753ad-43bd-45fd-b0c0-caf0339a1e7b se ha unido a Zephiroth con la cuenta GEM Lageldrynne#GEM,"{""points"":""0"",""username"":""GEM Lageldrynne#GEM"",""bloodline"":""Zephiroth""}",2025-10-12 14:30:23.594962+00
38,3d874267-f665-4c55-9f5d-9c06eea06a75,25,YeII0wDucky,GEM Lagrimelle#GEM,Zephiroth,MEMBER,¡Nuevo miembro!,YeII0wDucky se ha unido a Zephiroth con la cuenta GEM Lagrimelle#GEM,"{""points"":""0"",""username"":""GEM Lagrimelle#GEM"",""bloodline"":""Zephiroth""}",2025-10-12 17:47:56.751213+00
39,3d874267-f665-4c55-9f5d-9c06eea06a75,28,YeII0wDucky,GEM Velchelisse#GEM,Zephiroth,MEMBER,¡Nuevo miembro!,YeII0wDucky se ha unido a Zephiroth con la cuenta GEM Velchelisse#GEM,"{""points"":""0"",""username"":""GEM Velchelisse#GEM"",""bloodline"":""Zephiroth""}",2025-10-12 17:48:21.277104+00
56,3d874267-f665-4c55-9f5d-9c06eea06a75,18,YeII0wDucky,GEM Bricellice#GEM,Zephiroth,MEMBER,¡Nuevo miembro!,YeII0wDucky se ha unido a Zephiroth con la cuenta GEM Bricellice#GEM,"{""points"":""0"",""username"":""GEM Bricellice#GEM"",""bloodline"":""Zephiroth""}",2025-10-14 01:04:48.877885+00
57,5a8753ad-43bd-45fd-b0c0-caf0339a1e7b,47,Chejo,GEM Lageldrynne#GEM,Zephiroth,LEVEL_UP,¡Nivel subido!,"Chejo ha subido 1 nivel(es) en GEM Lageldrynne#GEM (Zephiroth), alcanzando nivel 20","{""to"":""20"",""from"":""19"",""gained"":""1"",""points"":""80""}",2025-10-14 01:06:12.260001+00
58,3d874267-f665-4c55-9f5d-9c06eea06a75,18,-,GEM Bricellice#GEM,Zephiroth,LEVEL_UP,¡Nivel subido!,"- ha subido 1 nivel(es) en GEM Bricellice#GEM (Zephiroth), alcanzando nivel 78","{""to"":""78"",""from"":""77"",""gained"":""1"",""points"":""80""}",2025-10-14 01:06:13.535557+00
62,3d874267-f665-4c55-9f5d-9c06eea06a75,18,Ducko,GEM Bricellice#GEM,Zephiroth,WIN,¡Victoria!,Ducko ha ganado 1 victoria en GEM Bricellice#GEM (Zephiroth),"{""wins"":""1"",""points"":""70"",""totalWins"":""78""}",2025-10-14 01:10:39.561911+00
63,5a8753ad-43bd-45fd-b0c0-caf0339a1e7b,47,Chejo,GEM Lageldrynne#GEM,Zephiroth,WIN,¡Victoria!,Chejo ha ganado 1 victoria en GEM Lageldrynne#GEM (Zephiroth),"{""wins"":""1"",""points"":""70"",""totalWins"":""20""}",2025-10-14 01:12:32.214555+00
65,0aadc772-595d-4999-bef3-8ca0602a6e44,33,Toubie,GEM Irzeleriance#LAS,Gladasmy,MEMBER,¡Nuevo miembro!,Toubie se ha unido a Gladasmy con la cuenta GEM Irzeleriance#LAS,"{""points"":""0"",""username"":""GEM Irzeleriance#LAS"",""bloodline"":""Gladasmy""}",2025-10-14 01:15:47.424378+00
