id,ranked_id,username,champion_id,champion_level,champion_points,champion_points_since_last_level,champion_points_until_next_level,chest_granted,last_play_time,created_at,updated_at
44128,37,GEM Vrilyarethez#GEM,350,11,87363,763,10237,false,2025-10-06 22:50:52+00,2025-10-11 18:46:18.4035+00,2025-10-11 22:07:36.434207+00
44129,37,GEM Vrilyarethez#GEM,105,7,34034,0,19566,false,2023-07-08 00:51:12+00,2025-10-11 18:46:34.65696+00,2025-10-11 22:07:36.434207+00
44130,37,GEM Vrilyarethez#GEM,122,6,43380,11780,-780,false,2023-10-08 21:04:45+00,2025-10-11 18:46:43.986763+00,2025-10-11 22:07:36.434207+00
44131,37,GEM Vrilyarethez#GEM,82,6,32385,785,10215,false,2023-10-16 02:04:45+00,2025-10-11 18:47:00.942938+00,2025-10-11 22:07:36.434207+00
44132,37,GEM Vrilyarethez#GEM,23,6,29866,0,12734,false,2022-08-06 23:52:16+00,2025-10-11 18:47:18.541544+00,2025-10-11 22:07:36.434207+00
44133,37,GEM Vrilyarethez#GEM,7,5,27847,6247,3753,false,2025-03-28 12:35:46+00,2025-10-11 18:47:37.619323+00,2025-10-11 22:07:36.434207+00
44134,37,GEM Vrilyarethez#GEM,29,4,19551,6951,2049,false,2025-10-01 23:57:37+00,2025-10-11 18:47:53.01246+00,2025-10-11 22:07:36.434207+00
44135,37,GEM Vrilyarethez#GEM,96,4,13309,709,8291,false,2025-10-02 01:11:48+00,2025-10-11 18:48:20.424133+00,2025-10-11 22:07:36.434207+00
44136,37,GEM Vrilyarethez#GEM,107,3,12463,6463,137,false,2025-03-27 22:13:36+00,2025-10-11 18:48:49.266786+00,2025-10-11 22:07:36.434207+00
44137,37,GEM Vrilyarethez#GEM,106,3,11411,5411,1189,false,2023-10-20 17:32:12+00,2025-10-11 18:49:03.869277+00,2025-10-11 22:07:36.434207+00
44138,37,GEM Vrilyarethez#GEM,54,3,8619,2619,3981,false,2023-10-15 18:33:53+00,2025-10-11 18:49:19.731856+00,2025-10-11 22:07:36.434207+00
44139,37,GEM Vrilyarethez#GEM,99,3,8059,2059,4541,false,2023-10-20 16:57:44+00,2025-10-11 18:49:32.540506+00,2025-10-11 22:07:36.434207+00
44140,37,GEM Vrilyarethez#GEM,222,3,7035,1035,5565,false,2023-07-03 17:37:15+00,2025-10-11 18:49:45.242582+00,2025-10-11 22:07:36.434207+00
44141,37,GEM Vrilyarethez#GEM,77,3,6055,55,6545,false,2023-01-28 02:00:01+00,2025-10-11 18:49:54.512119+00,2025-10-11 22:07:36.434207+00
44142,37,GEM Vrilyarethez#GEM,64,2,5875,4075,125,false,2023-07-13 18:42:35+00,2025-10-11 18:50:04.657445+00,2025-10-11 22:07:36.434207+00
44143,37,GEM Vrilyarethez#GEM,101,2,5854,4054,146,false,2023-07-22 17:24:43+00,2025-10-11 18:50:55.013601+00,2025-10-11 22:07:36.434207+00
44144,37,GEM Vrilyarethez#GEM,150,2,5521,3721,479,false,2023-10-20 16:20:02+00,2025-10-11 18:51:05.068558+00,2025-10-11 22:07:36.434207+00
44145,37,GEM Vrilyarethez#GEM,203,2,5473,3673,527,false,2025-03-15 00:28:41+00,2025-10-11 18:51:17.229437+00,2025-10-11 22:07:36.434207+00
44146,37,GEM Vrilyarethez#GEM,86,2,5099,3299,901,false,2023-10-15 20:39:27+00,2025-10-11 18:51:22.729896+00,2025-10-11 22:07:36.434207+00
44147,37,GEM Vrilyarethez#GEM,43,2,4769,2969,1231,false,2024-01-02 05:14:48+00,2025-10-11 18:51:33.91604+00,2025-10-11 22:07:36.434207+00
44148,37,GEM Vrilyarethez#GEM,888,2,4475,2675,1525,false,2022-10-16 03:32:04+00,2025-10-11 18:51:42.461597+00,2025-10-11 22:07:36.434207+00
44149,37,GEM Vrilyarethez#GEM,236,2,4455,2655,1545,false,2025-03-11 00:19:46+00,2025-10-11 18:53:06.480367+00,2025-10-11 22:07:36.434207+00
44150,37,GEM Vrilyarethez#GEM,4,2,4445,2645,1555,false,2025-03-28 14:17:18+00,2025-10-11 18:53:18.22445+00,2025-10-11 22:07:36.434207+00
44151,37,GEM Vrilyarethez#GEM,34,2,3282,1482,2718,false,2025-04-10 01:35:01+00,2025-10-11 18:53:29.089015+00,2025-10-11 22:07:36.434207+00
44152,37,GEM Vrilyarethez#GEM,62,2,3226,1426,2774,false,2025-09-21 16:52:17+00,2025-10-11 18:53:37.753915+00,2025-10-11 22:07:36.434207+00
44153,37,GEM Vrilyarethez#GEM,777,2,2786,986,3214,false,2022-05-27 01:36:40+00,2025-10-11 18:53:46.310955+00,2025-10-11 22:07:36.434207+00
44154,37,GEM Vrilyarethez#GEM,84,2,2583,783,3417,false,2022-06-04 04:42:53+00,2025-10-11 18:53:54.106586+00,2025-10-11 22:07:36.434207+00
44155,37,GEM Vrilyarethez#GEM,11,2,2569,769,3431,false,2022-08-21 22:06:28+00,2025-10-11 18:54:35.793926+00,2025-10-11 22:07:36.434207+00
44156,37,GEM Vrilyarethez#GEM,38,2,2254,454,3746,false,2023-09-17 19:17:32+00,2025-10-11 18:54:45.741194+00,2025-10-11 22:07:36.434207+00
44157,37,GEM Vrilyarethez#GEM,131,2,2167,367,3833,false,2025-03-14 23:50:11+00,2025-10-11 18:54:58.427318+00,2025-10-11 22:07:36.434207+00
44158,37,GEM Vrilyarethez#GEM,89,2,2018,218,3982,false,2025-03-16 03:24:45+00,2025-10-11 18:55:09.065363+00,2025-10-11 22:07:36.434207+00
44159,37,GEM Vrilyarethez#GEM,63,2,2026,226,3974,false,2023-09-16 14:18:49+00,2025-10-11 18:56:02.223222+00,2025-10-11 22:07:36.434207+00
44160,37,GEM Vrilyarethez#GEM,41,2,1961,161,4039,false,2022-08-28 00:24:12+00,2025-10-11 18:56:18.159065+00,2025-10-11 22:07:36.434207+00
44161,37,GEM Vrilyarethez#GEM,59,2,1832,32,4168,false,2023-07-10 00:43:57+00,2025-10-11 18:56:29.755774+00,2025-10-11 22:07:36.434207+00
44162,37,GEM Vrilyarethez#GEM,245,1,1485,1485,315,false,2025-03-12 23:10:05+00,2025-10-11 19:06:00.484113+00,2025-10-11 22:07:36.434207+00
44163,37,GEM Vrilyarethez#GEM,32,1,1417,1417,383,false,2023-10-16 03:19:20+00,2025-10-11 19:06:04.894525+00,2025-10-11 22:07:36.434207+00
44164,37,GEM Vrilyarethez#GEM,24,1,1386,1386,414,false,2025-03-28 01:35:46+00,2025-10-11 19:06:14.140787+00,2025-10-11 22:07:36.434207+00
44165,37,GEM Vrilyarethez#GEM,21,1,1370,1370,430,false,2025-04-09 16:38:43+00,2025-10-11 19:06:18.632666+00,2025-10-11 22:07:36.434207+00
44166,37,GEM Vrilyarethez#GEM,360,1,1335,1335,465,false,2025-03-28 13:02:42+00,2025-10-11 19:06:22.753654+00,2025-10-11 22:07:36.434207+00
44167,37,GEM Vrilyarethez#GEM,103,1,1290,1290,510,false,2025-03-10 17:42:02+00,2025-10-11 19:06:31.297032+00,2025-10-11 22:07:36.434207+00
44168,37,GEM Vrilyarethez#GEM,114,1,1255,1255,545,false,2025-03-30 23:50:10+00,2025-10-11 19:06:36.895645+00,2025-10-11 22:07:36.434207+00
44169,37,GEM Vrilyarethez#GEM,81,1,1253,1253,547,false,2025-03-25 04:04:18+00,2025-10-11 19:06:41.774169+00,2025-10-11 22:07:36.434207+00
44170,37,GEM Vrilyarethez#GEM,68,1,1111,1111,689,false,2023-07-08 00:13:20+00,2025-10-11 19:06:51.452201+00,2025-10-11 22:07:36.434207+00
44171,37,GEM Vrilyarethez#GEM,1,1,1091,1091,709,false,2023-07-21 02:29:13+00,2025-10-11 19:07:03.4951+00,2025-10-11 22:07:36.434207+00
44172,37,GEM Vrilyarethez#GEM,202,1,1046,1046,754,false,2022-08-29 01:24:25+00,2025-10-11 19:07:07.861348+00,2025-10-11 22:07:36.434207+00
