id,name,username,bloodline,champions,skins,masteries,level,icon,wins,missions,elo_soloq,elo_flex,honor,rol,blue_essence,orange_essence,created_at,updated_at
1,AmNightmare,GEM Arminariknot#GEM,Porveldam,81,320,81,55,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6841.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":3}","{""tier"":""unranked"",""division"":4}",5,"{""adc"":45,""mid"":78,""top"":56,""jungle"":34,""support"":23}",156780,23450,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
2,Matutte,GEM Cordacrimory#GEM,Porveldam,83,320,83,98,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6754.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":3}","{""tier"":""unranked"",""division"":3}",4,"{""adc"":45,""mid"":78,""top"":56,""jungle"":34,""support"":23}",156780,23450,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
3,peraltadoctor,GEM Dreemurdomme#GEM,Porveldam,88,456,88,90,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/4618.png,"{""totals"":15,""current"":5}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":4}","{""tier"":""platinum"",""division"":1}",5,"{""adc"":45,""mid"":78,""top"":89,""jungle"":34,""support"":67}",234560,34560,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
4,Matutte,GEM Hestiarethe#GEM,Porveldam,83,267,83,60,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6805.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":1}","{""tier"":""unranked"",""division"":4}",4,"{""adc"":12,""mid"":45,""top"":87,""jungle"":23,""support"":34}",125430,18750,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
5,-,GEM Orzyadhere#LAS,Porveldam,90,298,90,70,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/5637.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":2}","{""tier"":""unranked"",""division"":3}",5,"{""adc"":56,""mid"":23,""top"":45,""jungle"":78,""support"":12}",98750,22340,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
6,-,GEM Purselgarmet#LAS,Porveldam,47,345,47,42,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/5898.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":4}","{""tier"":""unranked"",""division"":2}",5,"{""adc"":34,""mid"":89,""top"":23,""jungle"":45,""support"":67}",145670,19870,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
7,Gemy,GEM Rothroyaume#GEM,Porveldam,49,345,49,47,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6801.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":4}","{""tier"":""unranked"",""division"":1}",5,"{""adc"":34,""mid"":89,""top"":23,""jungle"":45,""support"":67}",145670,19870,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
8,AmNightmare,GEM Stridellarea#GEM,Porveldam,77,345,77,78,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/5879.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":3}","{""tier"":""unranked"",""division"":4}",5,"{""adc"":34,""mid"":89,""top"":23,""jungle"":45,""support"":67}",145670,19870,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
9,Gemy,GEM Brincellezha#GEM,Spadelline,95,345,95,91,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6330.png,"{""totals"":15,""current"":15}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":2}","{""tier"":""platinum"",""division"":2}",5,"{""adc"":34,""mid"":89,""top"":23,""jungle"":45,""support"":67}",145670,19870,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
10,AmNightmare,GEM Deellycella#GEM,Spadelline,71,345,71,73,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/5896.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":4}","{""tier"":""unranked"",""division"":4}",4,"{""adc"":34,""mid"":89,""top"":23,""jungle"":45,""support"":67}",145670,19870,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
