id,account,split-1-2025,split-2-2025,split-3-2025,created_at,updated_at
1,GEM Argyndorness#GEM,-,-,peraltadoctor,2025-10-05 02:10:56.210195+00,2026-02-01 23:58:14.417674+00
2,GEM Arklyndarce#GEM,-,-,Matutte,2025-10-05 02:10:56.210195+00,2025-11-21 19:35:35.289938+00
3,GEM Arminariknot#GEM,Ducko,Nighty,AmNightmare,2025-10-05 02:10:56.210195+00,2025-10-18 18:12:47.955493+00
4,GEM Asticedicair#GEM,Ducko,Enzyto,-,2025-10-05 02:10:56.210195+00,2026-02-18 18:40:00.773171+00
5,GEM Blaandelvals#GEM,Tubby,Kaztu,-,2025-10-05 02:10:56.210195+00,2026-02-18 18:40:49.413841+00
6,GEM Bricellice#GEM,Ducko,10 Matutte,-,2025-10-05 02:10:56.210195+00,2026-02-18 18:40:06.094647+00
7,GEM Brincellezha#GEM,Tubby,Aspy,Gemy,2025-10-05 02:10:56.210195+00,2026-02-02 00:00:36.09171+00
8,GEM Buddelizeth#GEM,-,-,-,2025-10-05 02:10:56.210195+00,2026-02-18 18:40:23.151806+00
9,GEM Cierzellant#GEM,Ducko,Matutte,Matutte,2025-10-05 02:10:56.210195+00,2025-10-11 18:15:16.09456+00
10,GEM Cordacrimory#GEM,Cachy,Tonyo,Matutte,2025-10-05 02:10:56.210195+00,2025-11-11 20:56:45.720528+00
11,GEM Damglantine#GEM,Ducko,Tonyo,Gemy,2025-10-05 02:10:56.210195+00,2026-02-02 00:03:29.279845+00
12,GEM Debranice#GEM,-,11 Nighty,AmNightmare,2025-10-05 02:10:56.210195+00,2025-10-18 17:35:53.743881+00
13,GEM Deellycella#GEM,Gugu,Gemy,AmNightmare,2025-10-05 02:10:56.210195+00,2025-10-18 17:35:56.061951+00
14,GEM Deestellirys#GEM,Ducko,Jony,jony_lu,2025-10-05 02:10:56.210195+00,2025-10-18 17:35:33.922827+00
15,GEM Deliquesence#LAS,Ducko,Tryppy Troppy,peraltadoctor,2025-10-05 02:10:56.210195+00,2025-11-01 04:28:46.904144+00
16,GEM Dellablivien#GEM,Tubby,Matutte,Gemy,2025-10-05 02:10:56.210195+00,2025-10-19 21:14:35.544358+00
17,GEM Depurallire#GEM,-,-,Gemy,2025-10-05 02:10:56.210195+00,2026-02-01 23:59:33.447985+00
18,GEM Dreemurdomme#GEM,Kompry,Matutte,peraltadoctor,2025-10-05 02:10:56.210195+00,2026-02-02 23:20:27.231444+00
19,GEM Envicingess#GEM,Tubby,Jony,jony_lu,2025-10-05 02:10:56.210195+00,2025-10-18 17:35:35.172044+00
20,GEM Eunilacealle#LAS,Ducko,Ducko,peraltadoctor,2025-10-05 02:10:56.210195+00,2026-02-02 00:02:59.60758+00
21,GEM Furninscorce#GEM,-,-,AegonLucifer,2025-10-05 02:10:56.210195+00,2025-12-21 23:09:16.678905+00
22,GEM Gallilessya#GEM,CHECK,Tryppy Troppy,-,2025-10-05 02:10:56.210195+00,2026-02-18 18:40:04.40995+00
23,GEM Glacelynne#GEM,Futy,Matutte,Gemy,2025-10-05 02:10:56.210195+00,2025-10-11 18:15:16.09456+00
24,GEM Gliecernice#GEM,-,-,jony_lu,2025-10-05 02:10:56.210195+00,2025-10-18 17:35:37.033899+00
25,GEM Golzendants#GEM,-,-,Matutte,2025-10-05 02:10:56.210195+00,2025-10-11 18:15:16.09456+00
26,GEM Greedgardell#GEM,Gemy,Gemy,-,2025-10-05 02:10:56.210195+00,2026-02-18 18:41:05.794931+00
27,GEM Hestiarethe#GEM,Tubby,Tryppy Troppy,Matutte,2025-10-05 02:10:56.210195+00,2025-10-11 18:15:16.09456+00
28,GEM Irzeleriance#LAS,Tubby,"Matutte
",-,2025-10-05 02:10:56.210195+00,2026-02-18 18:40:34.646723+00
